Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
Argentina,Terroir Series Torrontes 2015,353,9.99,3.7,Salta,white,Kaiken,2015,60f33dad00b871aef20207ad
Italy,Pomino Bianco 2018,353,13.71,3.6,Pomino,white,Castello Pomino,2018,60f33dad00b871aef20207ae
Italy,Otto Soave 2016,355,11.9,3.7,Soave,white,Prà,2016,60f33dad00b871aef20207af
Italy,Fiano Di Avellino Pietracalda 2018,355,21.1,3.8,Fiano de Avellino,white,Feudi di San Gregorio,2018,60f33dad00b871aef20207b0
Italy,Gavi 2018,356,12.5,3.6,Gavi,white,La Raia,2018,60f33dad00b871aef20207b1
United States,Sundial Chardonnay 2018,356,8.62,3.6,California,white,Fetzer,2018,60f33dad00b871aef20207b2
France,Coteaux Varois en Provence Blanc 2018,356,17.8,3.9,Coteaux Varois en Provence,white,Miraval,2018,60f33dad00b871aef20207b3
United States,Napa Valley Estate Chardonnay 2017,357,19.99,3.8,Napa Valley,white,The Hess Collection,2017,60f33dad00b871aef20207b4
United States,"Founders' Estate Chardonnay 2017",357,12.25,3.6,California,white,Beringer,2017,60f33dad00b871aef20207b5
Italy,Castello della Sala Cervaro della Sala 2018,359,58.19,4.5,Umbria,white,Antinori,2018,60f33dad00b871aef20207b6
France,Condrieu La Doriane 2017,359,84,4.3,Condrieu,white,E. Guigal,2017,60f33dad00b871aef20207b7
Chile,Reserva Sauvignon Blanc (Classic) 2017,359,8.69,3.7,Curico Valley,white,Montes,2017,60f33dad00b871aef20207b8
France,No. 3 Colombard - Sauvignon 2019,359,5.99,4,Côtes de Gascogne,white,Uby,2019,60f33dad00b871aef20207b9
Germany,Saar Riesling 2017,360,12.14,3.9,Mosel,white,Van Volxem,2017,60f33dad00b871aef20207ba
New Zealand,Sauvignon Blanc Te Muna Road Vineyard 2019,361,21.29,4.1,Martinborough,white,Craggy Range,2019,60f33dad00b871aef20207bb
Chile,Albaclara Sauvignon Blanc 2018,362,9.99,3.4,Leyda Valley,white,Haras de Pirque,2018,60f33dad00b871aef20207bc
Italy,Cometa 2018,362,19.99,4.2,Menfi,white,Planeta,2018,60f33dad00b871aef20207bd
Italy,Trebbiano - Pinot Grigio 2018,363,5.82,3.9,Puglia,white,Cielo e Terra,2018,60f33dad00b871aef20207be
France,Les Belles Vignes Sancerre Blanc 2015,363,21.44,3.9,Sancerre,white,Fournier Pere & Fils,2015,60f33dad00b871aef20207bf
Germany,Silberlack Riesling Trocken GG 2015,364,44.8,4.2,Rheingau,white,Schloss Johannisberg,2015,60f33dad00b871aef20207c0
Germany,Riesling Trocken 2018,364,10.5,3.8,Mosel,white,Fritz Haag,2018,60f33dad00b871aef20207c1
United States,Indian Wells Chardonnay 2017,364,20.47,4,Columbia Valley,white,Chateau Ste. Michelle,2017,60f33dad00b871aef20207c2
Italy,Vintage Tunina 2017,366,44.52,4.2,Venezia Giulia,white,Jermann,2017,60f33dad00b871aef20207c3
New Zealand,Pinot Grigio 2018,367,12.9,3.8,Marlborough,white,The Ned,2018,60f33dad00b871aef20207c4
Spain,Pedra da Auga Albariño 2016,368,10.35,3.5,Rías Baixas,white,Rectoral do Umia,2016,60f33dad00b871aef20207c5
Italy,Est! Est!! Est!!! Di Montefiascone Secco 2018,368,6.89,3.3,Est! Est!! Est!!! di Montefiascone,white,Bigi,2018,60f33dad00b871aef20207c6
Italy,Kiké 2019,369,9.65,4.2,Terre Siciliane,white,Fina,2019,60f33dad00b871aef20207c7
New Zealand,"The King's Favour Sauvignon Blanc 2017",370,13.9,3.8,Marlborough,white,The Kings Series,2017,60f33dad00b871aef20207c8
Italy,Urra di Mare 2015,370,12.9,3.8,Terre Siciliane,white,Mandrarossa,2015,60f33dad00b871aef20207c9
France,"Lune d'Argent 2013",371,16.9,3.6,Bordeaux,white,Clos des Lunes,2013,60f33dad00b871aef20207ca
Chile,Reserva Sauvignon Blanc 2017,371,6.97,3.3,Maule Valley,white,Viña Palo Alto,2017,60f33dad00b871aef20207cb
Italy,Pinot Grigio 2018,372,10.18,3.8,Friuli-Venezia Giulia,white,Attems,2018,60f33dad00b871aef20207cc
France,Côtes De Gascogne Classic 2019,374,5.5,3.5,Côtes de Gascogne,white,Domaine du Tariquet,2019,60f33dad00b871aef20207cd
Germany,Riesling 2018,374,11.6,3.6,Pfalz,white,A. Christmann,2018,60f33dad00b871aef20207ce
Italy,Vivia Maremma Toscana 2018,375,14.45,3.6,Toscana,white,Le Mortelle,2018,60f33dad00b871aef20207cf
New Zealand,Pioneer Block 3 43 Degrees Sauvignon Blanc 2018,376,19.95,3.9,Marlborough,white,Saint Clair,2018,60f33dad00b871aef20207d0
Chile,Sauvignon Blanc 2019,377,5.33,3.5,Central Valley,white,Antares,2019,60f33dad00b871aef20207d1
Germany,Riesling Trocken 2017,377,9.65,3.8,Pfalz,white,Georg Mosbacher,2017,60f33dad00b871aef20207d2
France,Côte des Roses Blanc 2018,377,10.42,3.7,Languedoc,white,Gérard Bertrand,2018,60f33dad00b871aef20207d3
Italy,Villa Solais Vermentino di Sardegna 2018,377,6.5,3.7,Vermentino di Sardegna,white,Santadi,2018,60f33dad00b871aef20207d4
Italy,Custoza 2018,380,7.98,3.7,Bianco di Custoza,white,Cavalchina,2018,60f33dad00b871aef20207d5
South Africa,Chenin Blanc 2019,381,5.76,3.6,Stellenbosch,white,Stellenrust,2019,60f33dad00b871aef20207d6
Argentina,Chardonnay 2019,382,6.95,3.7,Mendoza,white,Alamos,2019,60f33dad00b871aef20207d7
Italy,Lugana Sergio Riserva 2016,383,20.96,4.2,Lugana,white,Zenato,2016,60f33dad00b871aef20207d8
France,Sancerre Blanc 2017,384,17.9,3.9,Sancerre,white,La Perrière,2017,60f33dad00b871aef20207d9
Italy,"Ca'Marcanda Vistamare Toscana 2018",384,41.9,4.1,Toscana,white,Gaja,2018,60f33dad00b871aef20207da
Spain,Blanco 2019,384,4.95,3.6,Rioja,white,El Coto,2019,60f33dad00b871aef20207db
Germany,Riesling 2018,384,10.63,3.8,Nahe,white,Dönnhoff,2018,60f33dad00b871aef20207dc
South Africa,Chardonnay 2018,384,26.36,4.1,Stellenbosch,white,Meerlust,2018,60f33dad00b871aef20207dd
Spain,Chardonnay 234 2019,386,9.25,4,Somontano,white,Enate,2019,60f33dad00b871aef20207de
France,Chablis 2018,386,17.5,4,Chablis,white,Domaine Nathalie et Gilles Fevre,2018,60f33dad00b871aef20207df
Chile,Santa Digna Reserva Chardonnay 2018,386,9.45,3.4,Central Valley,white,Miguel Torres,2018,60f33dad00b871aef20207e0
South Africa,Chardonnay 2016,389,21.95,3.8,Elgin,white,Paul Cluver,2016,60f33dad00b871aef20207e1
Portugal,Douro Redoma Branco 2014,390,19.99,3.9,Douro,white,Niepoort,2014,60f33dad00b871aef20207e2
Spain,Albariño Rías Baixas 2018,391,10.65,3.8,Rías Baixas,white,Ramón Bilbao,2018,60f33dad00b871aef20207e3
Italy,Lahn Sauvignon 2018,391,12.13,3.9,Südtirol - Alto Adige,white,St. Michael-Eppan,2018,60f33dad00b871aef20207e4
Portugal,Vinho Verde Quinta da Aveleda 2018,392,6.97,3.8,Vinho Verde,white,Aveleda,2018,60f33dad00b871aef20207e5
Greece,Savatiano Old Vines (Vieilles Vignes) 2017,393,9.5,3.6,Markopoulo,white,Papagiannakos,2017,60f33dad00b871aef20207e6
France,Pouilly-Fumé 2018,393,22.29,4.1,Pouilly-Fumé,white,Château de Tracy,2018,60f33dad00b871aef20207e7
Hungary,Mandolás Dry 2017,394,19.85,3.9,Tokaj,white,Oremus,2017,60f33dad00b871aef20207e8
United States,Chardonnay 2018,394,6.3,2.8,California,white,Gallo Family Vineyards,2018,60f33dad00b871aef20207e9
South Africa,Buiten Blanc 2018,395,9.39,3.7,Constantia,white,Buitenverwachting,2018,60f33dad00b871aef20207ea
Italy,Cardellino Chardonnay Alto Adige 2017,397,19.35,3.8,Südtirol - Alto Adige,white,Elena Walch,2017,60f33dad00b871aef20207eb
Italy,Pinot Grigio Friuli Aquileia 2018,397,6.75,3.5,Friuli Aquileia,white,Zonin,2018,60f33dad00b871aef20207ec
Argentina,Portillo Sauvignon Blanc 2019,398,6.5,3.7,Uco Valley,white,Salentein,2019,60f33dad00b871aef20207ed
Austria,Riesling Federspiel Terrassen 2018,399,11.05,3.8,Wachau,white,Domäne Wachau,2018,60f33dad00b871aef20207ee
Italy,Soave Classico 2019,400,10.95,3.8,Soave Classico,white,Pieropan,2019,60f33dad00b871aef20207ef
New Zealand,Wairau Reserve Sauvignon Blanc 2018,400,30.19,4.1,Marlborough,white,Saint Clair,2018,60f33dad00b871aef20207f0
Chile,Estate Chardonnay 2017,401,8.25,3.6,Casablanca Valley,white,Errazuriz,2017,60f33dad00b871aef20207f1
Italy,Sauvignon 2018,402,18.9,4,Colli Orientali del Friuli,white,Livio Felluga,2018,60f33dad00b871aef20207f2
France,Pinot Blanc Alsace 2017,403,10.56,3.7,Alsace,white,Trimbach,2017,60f33dad00b871aef20207f3
South Africa,Chardonnay 2018,404,31.9,4.2,Hemel-en-Aarde Valley,white,Hamilton Russell Vineyards,2018,60f33dad00b871aef20207f4
South Africa,Metis Pascal Jolivet Sauvignon Blanc 2016,404,22.22,3.7,Constantia,white,Klein Constantia,2016,60f33dad00b871aef20207f5
Italy,Tenuta Guado al Tasso Vermentino Bolgheri 2019,404,17.99,4.1,Bolgheri,white,Antinori,2019,60f33dad00b871aef20207f6
Italy,Bianco 2018,405,6.78,3.7,Terre Siciliane,white,Corvo,2018,60f33dad00b871aef20207f7
South Africa,Chardonnay 2018,406,6.84,3.4,Western Cape,white,Laborie,2018,60f33dad00b871aef20207f8
Italy,"S'Elegas Nuragus di Cagliari 2016",406,7.25,3.7,Nuragus di Cagliari,white,Argiolas,2016,60f33dad00b871aef20207f9
Italy,Poggio alle Gazze 2014,407,42.8,4,Toscana,white,Ornellaia,2014,60f33dad00b871aef20207fa
United States,Chardonnay 2018,407,6.63,3.4,California,white,Dark Horse,2018,60f33dad00b871aef20207fb
United States,Chardonnay 2016,407,12.59,3.6,California,white,Gnarly Head,2016,60f33dad00b871aef20207fc
France,Colombard - Sauvignon Côtes de Gascogne 2019,408,5.43,4.1,Côtes de Gascogne,white,Horgelus,2019,60f33dad00b871aef20207fd
Australia,"Viognier (Samuel's Garden Collection) 2016",411,20.76,3.6,Eden Valley,white,Yalumba,2016,60f33dad00b871aef20207fe
France,Villa Blanche Chardonnay 2018,412,6.77,3.8,"Pays d'Oc",white,Calmel & Joseph,2018,60f33dad00b871aef20207ff
United States,Chardonnay 2016,416,10.95,3.6,California,white,Geyser Peak,2016,60f33dad00b871aef2020800
Italy,Vette di San Leonardo 2018,419,12.85,3.8,Vigneti delle Dolomiti,white,San Leonardo,2018,60f33dad00b871aef2020801
France,Laforet Bourgogne Chardonnay 2018,419,12.19,4,Bourgogne,white,Joseph Drouhin,2018,60f33dad00b871aef2020802
France,Corton-Charlemagne Grand Cru 2008,421,263.9,4.5,Corton-Charlemagne Grand Cru,white,Bonneau du Martray,2008,60f33dad00b871aef2020803
New Zealand,Wairau Reserve Sauvignon Blanc 2015,421,29.05,4.1,Marlborough,white,Saint Clair,2015,60f33dad00b871aef2020804
France,Riesling Grossi Laüe 2011,422,58.44,4.2,Alsace,white,Hugel,2011,60f33dad00b871aef2020805
United States,Chardonnay Sonoma Coast 2016,422,60.41,4.1,Sonoma Coast,white,Patz & Hall,2016,60f33dad00b871aef2020806
New Zealand,Chardonnay (Unoaked) 2015,423,15.5,3.6,Marlborough,white,Kim Crawford,2015,60f33dad00b871aef2020807
Chile,Sauvignon Blanc 2017,424,9.9,3.4,Casablanca Valley,white,Cruz Andina,2017,60f33dad00b871aef2020808
Italy,Chardonnay 2018,425,10.08,3.8,Südtirol - Alto Adige,white,Alois Lageder,2018,60f33dad00b871aef2020809
Argentina,Barrel Selection Chardonnay 2018,425,12.95,4,Uco Valley,white,Salentein,2018,60f33dad00b871aef202080a
United States,Sauvignon Blanc 2016,428,14.36,3.6,California,white,Bogle,2016,60f33dad00b871aef202080b
Spain,Godello 2016,428,27.4,4.2,Valdeorras,white,Avancia,2016,60f33dad00b871aef202080c
Chile,Max Reserva Chardonnay 2015,429,15.95,3.6,Aconcagua Valley,white,Errazuriz,2015,60f33dad00b871aef202080d
Chile,Max Reserva Chardonnay 2017,429,17.63,3.7,Aconcagua Valley,white,Errazuriz,2017,60f33dad00b871aef202080e
Chile,Santa Digna Reserva Sauvignon Blanc 2018,431,9.39,3.6,Central Valley,white,Miguel Torres,2018,60f33dad00b871aef202080f
Austria,Grüner Veltliner Kamptaler Terrassen 2017,431,7.9,3.8,Kamptal,white,Weingut Bründlmayer,2017,60f33dad00b871aef2020810
France,Pinot Gris Alsace Réserve 2016,433,17.45,3.8,Alsace,white,Trimbach,2016,60f33dad00b871aef2020811
Spain,Louro do Bolo Godello Valdeorras 2018,433,18.9,4,Valdeorras,white,Rafael Palacios,2018,60f33dad00b871aef2020812
Germany,Riesling 2017,434,11.5,3.7,Nahe,white,Dönnhoff,2017,60f33dad00b871aef2020813
Australia,The Y Series Riesling 2017,439,11.5,3.4,Barossa,white,Yalumba,2017,60f33dad00b871aef2020814
France,Classic Pinot Gris 2015,439,13.6,3.8,Alsace,white,Hugel,2015,60f33dad00b871aef2020815
Argentina,Las Moras Chardonnay 2018,439,6.21,3.3,San Juan,white,Bodega Finca Las Moras,2018,60f33dad00b871aef2020816
Italy,Bianco Passivento 2018,439,8.29,3.9,Terre Siciliane,white,Barone Montalto,2018,60f33dad00b871aef2020817
South Africa,Sauvignon Blanc 2018,440,6.84,3.6,Western Cape,white,Laborie,2018,60f33dad00b871aef2020818
Germany,Riesling Trocken 2014,440,10.67,3.8,Mosel,white,Fritz Haag,2014,60f33dad00b871aef2020819
Spain,Albariño 2018,442,15.5,3.8,Rías Baixas,white,Pazo Barrantes,2018,60f33dad00b871aef202081a
Germany,Kiedrich Gräfenberg Riesling Trocken GG 2013,443,73.9,3.8,Rheingau,white,Robert Weil,2013,60f33dad00b871aef202081b
Italy,Pinot Grigio 2018,443,7.15,3.5,Venezia,white,Riff,2018,60f33dad00b871aef202081c
United States,Pinot Gris 2017,444,9.99,3.6,Columbia Valley,white,Chateau Ste. Michelle,2017,60f33dad00b871aef202081d
Chile,Sauvignon Blanc 2018,444,10.91,3.5,Casablanca Valley,white,Los Vascos,2018,60f33dad00b871aef202081e
France,Classic Riesling 2016,446,16.52,3.7,Alsace,white,Hugel,2016,60f33dad00b871aef202081f
Chile,Estate Sauvignon Blanc 2018,446,10.68,3.6,Aconcagua Valley,white,Errazuriz,2018,60f33dad00b871aef2020820
France,Pouilly-Fumé En Travertin 2017,447,18.95,4.1,Pouilly-Fumé,white,Henri Bourgeois,2017,60f33dad00b871aef2020821
France,Mademoiselle de T Pouilly-Fumé 2018,447,18.29,4.1,Pouilly-Fumé,white,Château de Tracy,2018,60f33dad00b871aef2020822
Italy,Mongris Collio Pinot Grigio 2018,449,12.95,3.8,Collio,white,Marco Felluga,2018,60f33dad00b871aef2020823
South Africa,Chenin Blanc 2019,450,6.33,3.8,Stellenbosch,white,Simonsig,2019,60f33dad00b871aef2020824
South Africa,Barrel Fermented Chenin Blanc 2017,450,17.99,4.1,Stellenbosch,white,Stellenrust,2017,60f33dad00b871aef2020825
Germany,Magic Mountain Rüdesheimer Riesling 2016,452,17.5,3.8,Rheingau,white,Leitz,2016,60f33dad00b871aef2020826
South Africa,Chardonnay 2018,455,10.23,3.7,Stellenbosch,white,Simonsig,2018,60f33dad00b871aef2020827
Germany,Riesling Trocken 2018,456,10.71,3.8,Pfalz,white,Georg Mosbacher,2018,60f33dad00b871aef2020828
United States,Kali Hart Chardonnay 2016,457,24.02,3.6,Monterey,white,Talbott,2016,60f33dad00b871aef2020829
Italy,Urra di Mare 2018,458,10.56,3.8,Terre Siciliane,white,Mandrarossa,2018,60f33dad00b871aef202082a
France,Coteaux Varois en Provence Blanc 2015,458,20.5,4,Coteaux Varois en Provence,white,Miraval,2015,60f33dad00b871aef202082b
France,Chablis 2018,460,17.9,3.8,Chablis,white,Jean-Marc Brocard,2018,60f33dad00b871aef202082c
France,Chablis 2016,464,23,3.9,Chablis,white,Christian Moreau Pere & Fils,2016,60f33dad00b871aef202082d
Italy,Inzolia Sicilia 2017,464,6.54,3.6,Sicilia,white,Feudo Arancio,2017,60f33dad00b871aef202082e
Italy,Angimbé (Tenuta Ficuzza) 2018,465,8.68,3.7,Terre Siciliane,white,Cusumano,2018,60f33dad00b871aef202082f
New Zealand,Sauvignon Blanc 2019,467,9.53,4.1,Marlborough,white,Mount Riley,2019,60f33dad00b871aef2020830
Italy,Terre Bianche Torbato Alghero 2018,468,8.9,3.7,Alghero,white,Sella & Mosca,2018,60f33dad00b871aef2020831
Argentina,Felino Chardonnay 2018,468,12.99,3.8,Mendoza,white,Viña Cobos,2018,60f33dad00b871aef2020832
Chile,Chardonnay Reserva 2018,469,10.66,3.5,Maipo Valley,white,Escudo Rojo,2018,60f33dad00b871aef2020833
Spain,Verdejo 2018,469,9.37,3.7,Rueda,white,PradoRey,2018,60f33dad00b871aef2020834
Portugal,Muros Antigos Loureiro 2018,470,7.9,3.8,Vinho Verde,white,Anselmo Mendes,2018,60f33dad00b871aef2020835
South Africa,Chenin Blanc 2018,470,9.75,3.5,Swartland,white,Allesverloren,2018,60f33dad00b871aef2020836
New Zealand,Clifford Bay Reserve Sauvignon Blanc 2018,470,19.55,4.2,Marlborough,white,Villa Maria,2018,60f33dad00b871aef2020837
Spain,Castell De Raimat Chardonnay 2018,472,9.39,3.6,Costers del Segre,white,Raimat,2018,60f33dad00b871aef2020838
Italy,Pinot Grigio Riserva Trentino 2017,472,8,3.6,Trentino,white,Mezzacorona,2017,60f33dad00b871aef2020839
Italy,Bianco di Custoza Superiore Cà del Magro 2017,473,9.22,3.8,Bianco di Custoza,white,Monte del Frá,2017,60f33dad00b871aef202083a
South Africa,Danie de Wet Chardonnay 2017,479,15.5,3.7,Robertson,white,De Wetshof,2017,60f33dad00b871aef202083b
South Africa,Chardonnay 2019,479,14.5,3.9,Stellenbosch,white,Rustenberg,2019,60f33dad00b871aef202083c
France,Baron de L Pouilly-Fumé 2015,479,97.04,4.4,Pouilly-Fumé,white,de Ladoucette,2015,60f33dad00b871aef202083d
Spain,Chardonnay Penedès 3055 2018,481,14.38,3.7,Penedès,white,Jean Leon,2018,60f33dad00b871aef202083e
Chile,Aconcagua Costa Sauvignon Blanc 2017,482,16.08,3.7,Aconcagua Valley,white,Errazuriz,2017,60f33dad00b871aef202083f
Italy,Verdicchio dei Castelli di Jesi 2016,483,17.4,3.8,Verdicchio dei Castelli di Jesi,white,Azienda Santa Barbara - Stefano Antonucci,2016,60f33dad00b871aef2020840
Italy,Le Vaglie Verdicchio dei Castelli di Jesi Classico 2018,483,10.9,3.9,Verdicchio dei Castelli di Jesi,white,Azienda Santa Barbara - Stefano Antonucci,2018,60f33dad00b871aef2020841
France,Blanc 2018,486,4.95,3.8,"Pays d'Oc",white,Claude Val,2018,60f33dad00b871aef2020842
Germany,Quant Riesling 2018,489,8.5,4,Mosel,white,Carl Loewen,2018,60f33dad00b871aef2020843
Spain,Basa Blanco 2018,489,7.95,3.8,Rueda,white,Telmo Rodriguez,2018,60f33dad00b871aef2020844
South Africa,Signature Sauvignon Blanc 2019,490,6.5,3.7,Stellenbosch,white,Spier,2019,60f33dad00b871aef2020845
Germany,Riesling 2015,490,13.95,3.8,Pfalz,white,Von Winning,2015,60f33dad00b871aef2020846
Chile,Sauvignon Blanc (Select Terroir Reserva) 2018,490,7.66,3.7,Maipo Valley,white,Santa Ema,2018,60f33dad00b871aef2020847
United States,Grand Estates Chardonnay 2016,491,12.99,3.9,Columbia Valley,white,Columbia Crest,2016,60f33dad00b871aef2020848
Portugal,Alentejano Branco 2017,491,10.63,3.8,Alentejano,white,Herdade dos Grous,2017,60f33dad00b871aef2020849
Germany,Qvinterra Riesling Trocken 2018,493,10.8,3.8,Rheinhessen,white,Kühling-Gillot,2018,60f33dad00b871aef202084a
France,Sancerre Blanc 2017,493,37.63,3.8,Sancerre,white,Domaine du Nozay,2017,60f33dad00b871aef202084b
United States,"Director's Cut Chardonnay 2016",493,27.9,4.1,Russian River Valley,white,Francis Ford Coppola,2016,60f33dad00b871aef202084c
Spain,Rueda Verdejo 2018,493,8.29,3.6,Rueda,white,Beronia,2018,60f33dad00b871aef202084d
Italy,Altavilla della Corte Grillo 2016,493,10.69,3.6,Terre Siciliane,white,Firriato,2016,60f33dad00b871aef202084e
Italy,Villa Solais Vermentino di Sardegna 2017,496,6.9,3.7,Vermentino di Sardegna,white,Santadi,2017,60f33dad00b871aef202084f
South Africa,Sauvignon Blanc Reserve Collection Elgin 2018,497,18.9,3.9,Elgin,white,Tokara,2018,60f33dad00b871aef2020850
Uruguay,Estate Sauvignon Blanc (Varietales) 2018,497,14.89,3.6,Maldonado,white,Bodega Garzón,2018,60f33dad00b871aef2020851
Italy,Villa Antinori Toscana Bianco 2019,499,8.68,3.8,Toscana,white,Antinori,2019,60f33dad00b871aef2020852
France,Vouvray Classic 2017,500,17.85,3.9,Vouvray,white,Marc Brédif,2017,60f33dad00b871aef2020853
Austria,Grüner Veltliner 2018,500,9.72,3.8,Kamptal,white,Loimer,2018,60f33dad00b871aef2020854
South Africa,"The Winemaster's Chardonnay 2015",502,6.63,3.5,Coastal Region,white,Nederburg,2015,60f33dad00b871aef2020855
Argentina,Torrontes 2017,503,8.89,3.6,Salta,white,Alamos,2017,60f33dad00b871aef2020856
New Zealand,Chardonnay 2018,505,11.45,3.7,Marlborough,white,Stoneleigh,2018,60f33dad00b871aef2020857
Germany,Riesling Trocken 2016,505,9.99,3.9,Pfalz,white,Georg Mosbacher,2016,60f33dad00b871aef2020858
Chile,Las Mulas Reserva Sauvignon Blanc 2018,506,9.9,3.6,Central Valley,white,Miguel Torres,2018,60f33dad00b871aef2020859
Germany,Riesling Trocken 2018,507,10.99,3.5,Rheingau,white,Kloster Eberbach,2018,60f33dad00b871aef202085a
Spain,Louro do Bolo Godello Valdeorras 2016,508,15.95,3.9,Valdeorras,white,Rafael Palacios,2016,60f33dad00b871aef202085b
Germany,Riesling Trocken 2016,509,14.29,3.8,Rheinhessen,white,Battenfeld Spanier,2016,60f33dad00b871aef202085c
Germany,Riesling Trocken 2017,510,11.51,3.7,Rheinhessen,white,Wittmann,2017,60f33dad00b871aef202085d
Italy,Brolettino Lugana 2018,510,14.52,4.1,Lugana,white,Cà dei Frati,2018,60f33dad00b871aef202085e
France,Condrieu La Doriane 2016,511,82,4.2,Condrieu,white,E. Guigal,2016,60f33dad00b871aef202085f
Spain,Viña Sol Original 2019,512,5.95,3.6,Penedès,white,Torres,2019,60f33dad00b871aef2020860
United States,Chardonnay 2017,515,12.9,3.4,Monterey,white,Hess Select,2017,60f33dad00b871aef2020861
South Africa,Wild Yeast Chardonnay 2018,517,15.69,3.9,Robertson,white,Springfield Estate,2018,60f33dad00b871aef2020862
Italy,Adorato Appassionato Bianco 2018,518,10.9,3.5,Veneto,white,Tommasi,2018,60f33dad00b871aef2020863
Italy,Gewürztraminer 2015,520,14.95,3.8,Südtirol - Alto Adige,white,Terlan (Terlano),2015,60f33dad00b871aef2020864
Spain,Verdejo 2019,523,6.85,3.8,Rueda,white,Protos,2019,60f33dad00b871aef2020865
South Africa,Sauvignon Blanc 2019,530,9.99,3.6,Franschhoek,white,La Motte Wine Estate,2019,60f33dad00b871aef2020866
France,Côtes du Rhône Réserve Blanc 2016,531,6.85,3.5,Côtes-du-Rhône,white,Les Dauphins,2016,60f33dad00b871aef2020867
Italy,Le Vaglie Verdicchio dei Castelli di Jesi Classico 2015,532,9.9,3.8,Verdicchio dei Castelli di Jesi,white,Azienda Santa Barbara - Stefano Antonucci,2015,60f33dad00b871aef2020868
Spain,As Sortes Val do Bibei Godello 2015,532,39.95,4.2,Valdeorras,white,Rafael Palacios,2015,60f33dad00b871aef2020869
France,Châteauneuf-du-Pape Les Sinards Blanc 2017,532,30.74,4.1,Châteauneuf-du-Pape,white,Famille Perrin,2017,60f33dad00b871aef202086a
Australia,Filius Chardonnay 2017,532,20.9,3.7,Margaret River,white,Vasse Felix,2017,60f33dad00b871aef202086b
Italy,Castel Firmian Pinot Grigio Trentino 2018,534,7.66,3.8,Trentino,white,Mezzacorona,2018,60f33dad00b871aef202086c
Chile,Estate Chardonnay 2016,535,8.9,3.5,Casablanca Valley,white,Errazuriz,2016,60f33dad00b871aef202086d
Spain,Rías Baixas Albariño 2017,535,16.9,4.1,Rías Baixas,white,Finca Garabelos,2017,60f33dad00b871aef202086e
France,Mâcon-Villages Blanc 2018,536,14.54,3.8,Mâcon-Villages,white,Louis Jadot,2018,60f33dad00b871aef202086f
South Africa,Original Chenin Blanc (Unwooded) 2018,536,12.5,3.7,Stellenbosch,white,Raats,2018,60f33dad00b871aef2020870
Portugal,Muros Antigos Escolha 2018,538,6.5,3.6,Vinho Verde,white,Anselmo Mendes,2018,60f33dad00b871aef2020871
United States,Central Coast Chardonnay 2016,539,13.9,3.7,Central Coast,white,William Hill,2016,60f33dad00b871aef2020872
United States,Mannequin 2017,540,37.04,4,California,white,Orin Swift,2017,60f33dad00b871aef2020873
France,Corton-Charlemagne Grand Cru 2009,541,249.95,4.4,Corton-Charlemagne Grand Cru,white,Bonneau du Martray,2009,60f33dad00b871aef2020874
South Africa,Chenin Blanc Secateurs 2019,541,9.89,3.7,Swartland,white,Badenhorst,2019,60f33dad00b871aef2020875
Italy,La Fuga Chardonnay Contessa Entellina 2018,542,11.5,3.8,Contessa Entellina,white,Donnafugata,2018,60f33dad00b871aef2020876
France,Sancerre Blanc 2017,543,33.87,3.9,Sancerre,white,Château de Sancerre,2017,60f33dad00b871aef2020877
France,Côtes-du-Rhône Blanc 2017,544,13.04,3.5,Côtes-du-Rhône,white,E. Guigal,2017,60f33dad00b871aef2020878
United States,Napa Valley Estate Chardonnay 2016,549,19.39,3.8,Napa Valley,white,The Hess Collection,2016,60f33dad00b871aef2020879
Chile,Chardonnay 2018,550,7.75,3.6,Colchagua Valley,white,Los Vascos,2018,60f33dad00b871aef202087a
United States,Riesling 2015,551,24.45,3.9,Columbia Valley,white,Eroica,2015,60f33dad00b871aef202087b
Germany,Riesling 2018,552,8.5,3.8,Pfalz,white,Von Winning,2018,60f33dad00b871aef202087c
Italy,Roero Arneis 2018,554,21.18,3.8,Roero,white,Bruno Giacosa,2018,60f33dad00b871aef202087d
Italy,Pinot Grigio 2018,556,10.95,3.8,Südtirol - Alto Adige,white,St. Michael-Eppan,2018,60f33dad00b871aef202087e
South Africa,Chardonnay 2017,557,10.9,3.6,Stellenbosch,white,Simonsig,2017,60f33dad00b871aef202087f
France,Le Finage Chablis 2017,557,22.78,3.7,Chablis,white,La Chablisienne,2017,60f33dad00b871aef2020880
France,Chardonnay 2018,558,6.33,3.9,Vin de France,white,Maison de La Villette,2018,60f33dad00b871aef2020881
Spain,Garnacha Blanca 2017,559,9.9,3.7,Valdejalón,white,Botijo Rojo,2017,60f33dad00b871aef2020882
United States,Napa Valley Chardonnay 2013,560,22.9,3.7,Napa Valley,white,Beringer,2013,60f33dad00b871aef2020883
Germany,Win Win Riesling 2018,563,9.7,3.8,Pfalz,white,Von Winning,2018,60f33dad00b871aef2020884
Spain,Albariño 2018,564,13.16,4,Rías Baixas,white,Fillaboa,2018,60f33dad00b871aef2020885
Chile,Chardonnay (Reserva) 2019,565,7.89,3.4,Casablanca Valley,white,Casillero del Diablo,2019,60f33dad00b871aef2020886
United States,Chardonnay 2018,567,12.5,3.8,Columbia Valley,white,Chateau Ste. Michelle,2018,60f33dad00b871aef2020887
