Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
Italy,Brunello di Montalcino Riserva 2012,60,69,4.3,Brunello di Montalcino,red,Capanna,2012,60f33d7f00b871aef201f2e2
France,Villa Mayols 2015,60,9.26,3.3,"Pays d'Oc",red,Famille Cros Pujol,2015,60f33d7f00b871aef201f2e3
France,Pauillac (Grand Cru Classé) 2017,60,118.09,4,Pauillac,red,Château Duhart-Milon,2017,60f33d7f00b871aef201f2e4
France,Saint-Estèphe 2017,60,51.34,3.8,Saint-Estèphe,red,Château de Pez,2017,60f33d7f00b871aef201f2e5
Austria,Velue Zweigelt 2016,60,10.7,3.8,Weinviertel,red,Johannes Zillinger,2016,60f33d7f00b871aef201f2e6
South Africa,Merlot 2011,60,59.95,3.9,Franschhoek,red,Anthonij Rupert,2011,60f33d7f00b871aef201f2e7
Italy,Barolo Brunate 2013,60,154.23,4.3,Barolo,red,Vietti,2013,60f33d7f00b871aef201f2e8
South Africa,Series C 2017,60,72.75,4.6,Paarl,red,Vilafonté,2017,60f33d7f00b871aef201f2e9
France,Pomerol 2014,60,149,4.4,Pomerol,red,Château Hosanna,2014,60f33d7f00b871aef201f2ea
Italy,Lusira Syrah 2015,60,21.63,4.1,Sicilia,red,Baglio del Cristo di Campobello,2015,60f33d7f00b871aef201f2eb
France,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,60,439.95,4.5,Saint-Émilion Grand Cru,red,Château Péby Faugères,2005,60f33d7f00b871aef201f2ec
Germany,Blauer Spätburgunder 2016,60,9.8,3.3,Baden,red,Ziereisen,2016,60f33d7f00b871aef201f2ed
Spain,Varietales Trio Red Blend 2018,60,5.4,3.5,Cariñena,red,Bodegas Care,2018,60f33d7f00b871aef201f2ee
Italy,Dedicato a Walter Bolgheri Superiore 2006,60,89.9,4.2,Bolgheri Superiore,red,Poggio Al Tesoro,2006,60f33d7f00b871aef201f2ef
France,Bordeaux Supérieur 2016,60,7.98,3.5,Bordeaux Supérieur,red,Château Lézin,2016,60f33d7f00b871aef201f2f0
France,Médoc 2011,60,21.9,3.5,Médoc,red,Château La Cardonne,2011,60f33d7f00b871aef201f2f1
Israel,Mount Hermon Cabernet Sauvignon 2018,60,12.14,3.3,Galilee,red,Hermon,2018,60f33d7f00b871aef201f2f2
Italy,Collezione di Famiglia Valpolicella Ripasso (Selezione di Famiglia) 2017,60,18.95,4.2,Valpolicella Ripasso,red,Tinazzi,2017,60f33d7f00b871aef201f2f3
Italy,Amarone della Valpolicella Corte Brà 2012,60,33.16,4.2,Amarone della Valpolicella,red,Sartori,2012,60f33d7f00b871aef201f2f4
Germany,Dry Aged 2015,60,33.14,4.2,Pfalz,red,Weingut Metzger,2015,60f33d7f00b871aef201f2f5
France,Les Corvées Arbois 2016,60,33.05,4.1,Arbois,red,Domaine Ratte,2016,60f33d7f00b871aef201f2f6
Spain,Ònix Selecció 2012,60,36.95,4.1,Priorat,red,Vinícola del Priorat,2012,60f33d7f00b871aef201f2f7
South Africa,Merlot Reserve 2013,60,32.5,4.2,Stellenbosch,red,Thelema,2013,60f33d7f00b871aef201f2f8
Italy,Nebbiolo Langhe Il 2016,60,17.61,3.8,Langhe,red,Virna,2016,60f33d7f00b871aef201f2f9
Spain,Listán Negro 2018,60,14.99,3.5,Lanzarote,red,El Grifo,2018,60f33d7f00b871aef201f2fa
Turkey,Cabernet Sauvignon 2017,60,15,3.4,Thrace,red,Suvla,2017,60f33d7f00b871aef201f2fb
Italy,Forcole Chianti Classico 2015,60,18.41,3.7,Chianti Classico,red,Tenuta Degli Dei,2015,60f33d7f00b871aef201f2fc
South Africa,Syrah 2016,60,29.5,4.1,Stellenbosch,red,Peter Falke,2016,60f33d7f00b871aef201f2fd
France,Margaux 2017,60,29.05,3.8,Margaux,red,Château Labégorce,2017,60f33d7f00b871aef201f2fe
Spain,Pago La Jara 2013,60,38.95,3.9,Toro,red,Telmo Rodriguez,2013,60f33d7f00b871aef201f2ff
France,Madiran 2016,60,18.5,3.7,Madiran,red,Clos Basté,2016,60f33d7f00b871aef201f300
Italy,Acinatico Valpolicella Classico Superiore Ripasso 2018,60,16.7,3.8,Valpolicella Classico,red,Stefano Accordini,2018,60f33d7f00b871aef201f301
Italy,Brunello di Montalcino 2015,60,34.02,4.2,Brunello di Montalcino,red,Capanna,2015,60f33d7f00b871aef201f302
Italy,Ceccante Cabernet Sauvignon 2016,60,25.99,4,Maremma Toscana,red,Grillesino,2016,60f33d7f00b871aef201f303
France,"Côtes-du-Rhône-Villages 'Plan de Dieu' RS 2018",60,12.55,3.7,"Côtes-du-Rhône-Villages 'Plan de Dieu'",red,LePlan-Vermeersch,2018,60f33d7f00b871aef201f304
Spain,Petit Som Red 2014,60,13.9,3.6,Mallorca,red,Galmes I Ribot,2014,60f33d7f00b871aef201f305
Germany,Pinot Noir Herrenstück 2017,60,14,3.8,Baden,red,Weingut Holger Koch,2017,60f33d7f00b871aef201f306
Italy,"Mazzamurello Montepulciano d'Abruzzo 2016",60,35.26,4.2,"Montepulciano d'Abruzzo",red,Torre dei Beati,2016,60f33d7f00b871aef201f307
Germany,Dornfelder Trocken 2016,60,12.19,3.6,Pfalz,red,Anselmann,2016,60f33d7f00b871aef201f308
United States,Red Mountain 2013,601,37.35,3.9,Red Mountain,red,Hedges Family Estate,2013,60f33d7f00b871aef201f309
Italy,Achelo Rosso 2017,601,14.95,3.8,Cortona,red,La Braccesca,2017,60f33d7f00b871aef201f30a
